Date,EndVal,ChgVal,ChgPer
2025-04-17,55000,300,0.55
2025-04-16,54700,-1900,-3.36
2025-04-15,56600,400,0.71
2025-04-14,56200,1000,1.81
2025-04-11,55200,-1200,-2.13
2025-04-10,56400,3400,6.42
2025-04-09,53000,-500,-0.93
2025-04-08,53500,300,0.56
2025-04-07,53200,-2900,-5.17
2025-04-04,56100,-1500,-2.6
2025-04-03,57600,-1200,-2.04
2025-04-02,58800,0,0
2025-04-01,58800,1000,1.73
2025-03-31,57800,-2400,-3.99
2025-03-28,60200,-1600,-2.59
2025-03-27,61800,400,0.65
2025-03-26,61400,1600,2.68
2025-03-25,59800,-700,-1.16
2025-03-24,60500,-1200,-1.94
2025-03-21,61700,1500,2.49
2025-03-20,60200,1700,2.91
2025-03-19,58500,900,1.56
2025-03-18,57600,0,0
2025-03-17,57600,2900,5.3
2025-03-14,54700,0,0
2025-03-13,54700,-200,-0.36
2025-03-12,54900,1300,2.43
2025-03-11,53600,-100,-0.19
2025-03-10,53700,0,0
2025-03-07,53700,-600,-1.1
2025-03-06,54300,300,0.56
2025-03-05,54000,-500,-0.92
2025-03-04,54500,0,0
2025-02-28,54500,-1800,-3.2
2025-02-27,56300,-300,-0.53
2025-02-26,56600,-600,-1.05
2025-02-25,57200,-100,-0.17
2025-02-24,57300,-900,-1.55
2025-02-21,58200,-200,-0.34
2025-02-20,58400,-300,-0.51
2025-02-19,58700,1800,3.16
2025-02-18,56900,900,1.61
2025-02-17,56000,0,0
2025-02-14,56000,200,0.36
2025-02-13,55800,0,0
2025-02-12,55800,100,0.18
2025-02-11,55700,100,0.18
2025-02-10,55600,1900,3.54
2025-02-07,53700,-300,-0.56
2025-02-06,54000,1100,2.08
2025-02-05,52900,200,0.38
2025-02-04,52700,1700,3.33
2025-02-03,51000,-1400,-2.67
2025-01-31,52400,-1300,-2.42
2025-01-24,53700,0,0
2025-01-23,53700,-600,-1.1
2025-01-22,54300,800,1.5
2025-01-21,53500,100,0.19
2025-01-20,53400,-300,-0.56
2025-01-17,53700,-600,-1.1
2025-01-16,54300,600,1.12
2025-01-15,53700,-200,-0.37
2025-01-14,53900,-200,-0.37
2025-01-13,54100,-1200,-2.17
2025-01-10,55300,-800,-1.43
2025-01-09,56100,-1200,-2.09
2025-01-08,57300,1900,3.43
2025-01-07,55400,-500,-0.89
2025-01-06,55900,1500,2.76
2025-01-03,54400,1000,1.87
2025-01-02,53400,200,0.38
2024-12-30,53200,-500,-0.93
2024-12-27,53700,100,0.19
2024-12-26,53600,-800,-1.47
2024-12-24,54400,900,1.68
2024-12-23,53500,500,0.94
2024-12-20,53000,-100,-0.19
2024-12-19,53100,-1800,-3.28
2024-12-18,54900,700,1.29
2024-12-17,54200,-1400,-2.52
2024-12-16,55600,-500,-0.89
2024-12-13,56100,200,0.36
2024-12-12,55900,1900,3.52
2024-12-11,54000,0,0
2024-12-10,54000,600,1.12
2024-12-09,53400,-700,-1.29
2024-12-06,54100,400,0.74
2024-12-05,53700,600,1.13
2024-12-04,53100,-500,-0.93
2024-12-03,53600,0,0
2024-12-02,53600,-600,-1.11
2024-11-29,54200,-1300,-2.34
2024-11-28,55500,-800,-1.42
2024-11-27,56300,-2000,-3.43
2024-11-26,58300,400,0.69
2024-11-25,57900,1900,3.39
2024-11-22,56000,-400,-0.71
2024-11-21,56400,1100,1.99
2024-11-20,55300,-1000,-1.78
2024-11-19,56300,-400,-0.71
2024-11-18,56700,3200,5.98
2024-11-15,53500,3600,7.21
2024-11-14,49900,-700,-1.38
2024-11-13,50600,-2400,-4.53
2024-11-12,53000,-2000,-3.64
2024-11-11,55000,-2000,-3.51
2024-11-08,57000,-500,-0.87
2024-11-07,57500,200,0.35
2024-11-06,57300,-300,-0.52
2024-11-05,57600,-1100,-1.87
2024-11-04,58700,400,0.69
2024-11-01,58300,-900,-1.52
2024-10-31,59200,100,0.17
2024-10-30,59100,-500,-0.84
2024-10-29,59600,1500,2.58
2024-10-28,58100,2200,3.94
2024-10-25,55900,-700,-1.24
2024-10-24,56600,-2500,-4.23
2024-10-23,59100,1400,2.43
2024-10-22,57700,-1300,-2.2
2024-10-21,59000,-200,-0.34
2024-10-18,59200,-500,-0.84
2024-10-17,59700,200,0.34
2024-10-16,59500,-1500,-2.46
2024-10-15,61000,200,0.33
2024-10-14,60800,1500,2.53
2024-10-11,59300,400,0.68
2024-10-10,58900,-1400,-2.32
2024-10-08,60300,-700,-1.15
2024-10-07,61000,400,0.66
2024-10-04,60600,-700,-1.14
2024-10-02,61300,-200,-0.33
2024-09-30,61500,-2700,-4.21
2024-09-27,64200,-500,-0.77
2024-09-26,64700,2500,4.02
2024-09-25,62200,-1000,-1.58
2024-09-24,63200,600,0.96
2024-09-23,62600,-400,-0.63
2024-09-20,63000,-100,-0.16
2024-09-19,63100,-1300,-2.02
2024-09-13,64400,-1900,-2.87
2024-09-12,66300,1400,2.16
2024-09-11,64900,-1300,-1.96
2024-09-10,66200,-1300,-1.93
2024-09-09,67500,-1400,-2.03
2024-09-06,68900,-100,-0.14
2024-09-05,69000,-1000,-1.43
2024-09-04,70000,-2500,-3.45
2024-09-03,72500,-1900,-2.55
2024-09-02,74400,100,0.13
2024-08-30,74300,300,0.41
2024-08-29,74000,-2400,-3.14
2024-08-28,76400,600,0.79
2024-08-27,75800,-300,-0.39
2024-08-26,76100,-1600,-2.06
